Atlas_Clean_Name,Summit_Clean_Name,Similarity_Score,Decision
helvar kn logistics,,,NO_MATCH
nexora kn logistics,nexora bz logistics,89.5,ACCEPT
eldora ko materials,,,NO_MATCH
arvello ko materials,arvello fc materials,90.0,ACCEPT
praxon lo materials,,,NO_MATCH
yorvex lo mobility,yorvex cz mobility,88.9,ACCEPT
orvanta lo networks,orvanta bh networks,89.5,ACCEPT
prysmar lo networks,prysmar gc networks,89.5,ACCEPT
yorvex mo packaging,yorvex mb packaging,94.7,ACCEPT
cendrix np pharma,cendrix jm pharma,88.2,ACCEPT
vantigo np retail,vantigo qe retail,88.2,ACCEPT
cendrix op robotics,,,NO_MATCH
prysmar pp software,prysmar fs software,89.5,ACCEPT
lorven pq software,lorven re software,88.9,ACCEPT
ivanto pq supply,,,NO_MATCH
jorvik pq supply,jorvik ol supply,87.5,ACCEPT
solvanta qq tools,,,NO_MATCH
tarsen sr transport,tarsen pg transport,89.5,ACCEPT
ostera sr transport,,,NO_MATCH
ulvero sr ventures,ulvero nf ventures,88.9,ACCEPT
orvanta tr wellness,ivanto tr wellness,86.5,REJECT
ravelin us analytics labs,,,NO_MATCH
iskora vs biosystems labs,,,NO_MATCH
nexora vs clinics labs,,,NO_MATCH
tarsen vs clinics labs,,,NO_MATCH
wendora vs clinics labs,,,NO_MATCH
galvex ws cloudworks labs,galvex ti cloudworks labs,92.0,ACCEPT
evorin ws cloudworks labs,evorin sp cloudworks labs,96.0,ACCEPT
lunaro ws components labs,lunaro sq components labs,96.0,ACCEPT
nexora ws components labs,nexora va components labs,92.0,ACCEPT
meroxa yt gridworks labs,,,NO_MATCH
dorsen yt labs,,,NO_MATCH
mavrix yt labs,,,NO_MATCH
orvanta yt labs,,,NO_MATCH
ulvero yt labs,,,NO_MATCH
solvanta zt imaging labs,,,NO_MATCH
lorven zt imaging labs,,,NO_MATCH
xylera zu logistics labs,xylera yb logistics labs,91.7,ACCEPT
veltrix cu packaging labs,,,NO_MATCH
dorsen cu payments labs,,,NO_MATCH
yorvex cv pharma labs,,,NO_MATCH
arvello cv pharma labs,,,NO_MATCH
haverno cv pharma labs,,,NO_MATCH
kelvanto dv retail labs,,,NO_MATCH
ravelin dv retail labs,ravelin ls retail,87.2,ACCEPT
uldora dv retail labs,wendora dv retail labs,88.4,REJECT
ravelin ev robotics labs,ravelin as robotics labs,91.7,ACCEPT
kelvanto ev security labs,ivanto ev security labs,91.7,REJECT
lunaro fw supply labs,lunaro dd supply labs,90.5,ACCEPT
yorvex hx transport labs,,,NO_MATCH
jorvik hx ventures labs,jorvik du ventures labs,91.3,ACCEPT
dorsen ix warehousing labs,evorin ix warehousing labs,88.5,REJECT
qintara ix warehousing labs,,,NO_MATCH
calvion jx workspace labs,galvex jx workspace labs,85.7,REJECT
avenor jx analytics solutions,,,NO_MATCH
braxen ky clinics solutions,braxen fd clinics solutions,92.6,ACCEPT
yantara ly clinics solutions,yantara ly clinics solns,92.3,ACCEPT
iskora ly cloudworks solutions,iskora ly cloudworks solns,92.9,ACCEPT
yorvex my components solutions,yorvex my components solns,92.9,ACCEPT
cendrix mz diagnostics solutions,cendrix mz diagnostics solns,93.3,ACCEPT
ravelin mz diagnostics solutions,ravelin mz diagnostics solns,93.3,ACCEPT
lunaro nz foods solutions,lunaro nz foods solns,91.3,ACCEPT
solvanta nz foods solutions,solvanta nz foods solns,92.0,ACCEPT
brinora nz foods solutions,,,NO_MATCH
lorven nz gridworks solutions,ravelin lo gridworks solutions,88.1,REJECT
calvion oz solutions,,,NO_MATCH
kelvanto oz solutions,,,NO_MATCH
arvello pa logistics solutions,arvello mp logistics solns,89.3,ACCEPT
tervano pa logistics solutions,sorevia pa logistics solutions,86.7,REJECT
zentara qa networks solutions,,,NO_MATCH
zentara tb security solutions,zentara lw security solutions,89.7,ACCEPT
lorven vc supply solutions,,,NO_MATCH
tervano vc therapeutics solutions,tarsen vc therapeutics solutions,89.2,REJECT
iskora xd ventures solutions,iskora wk ventures solutions,92.9,ACCEPT
tervano yd warehousing solutions,tervano yd warehousing solns,93.3,ACCEPT
lorven zd workspace solutions,lorven zd workspace solns,92.6,ACCEPT
meroxa zd workspace solutions,,,NO_MATCH
yantara zd workspace solutions,yantara zd workspace solns,92.9,ACCEPT
cendrix zd analytics systems,cendrix zd analytics sys,92.3,ACCEPT
wendora ze analytics systems,uldora ze analytics systems,90.9,REJECT
ulvero ae biosystems systems,,,NO_MATCH
brinora ae biosystems systems,,,NO_MATCH
orvanta ae clinics systems,,,NO_MATCH
ravelin ae clinics systems,ravelin yt clinics systems,88.5,ACCEPT
sorevia ae clinics systems,kestrelis ae clinics systems,85.2,REJECT
nexora be components systems,nexora be components sys,92.3,ACCEPT
xylera ce diagnostics systems,,,NO_MATCH
brinora ce diagnostics systems,,,NO_MATCH
calvion cf foods systems,calvion zu foods systems,87.5,ACCEPT
xylera cf foods systems,,,NO_MATCH
iskora cf foods systems,,,NO_MATCH
ulvero df systems,,,NO_MATCH
cendrix fg materials systems,cendrix fg materials sys,92.3,ACCEPT
yantara fg materials systems,,,NO_MATCH
rovian fg mobility systems,orvanta fg mobility systems,90.6,REJECT
vantigo fg mobility systems,vantigo fg mobility sys,92.0,ACCEPT
evorin gg packaging systems,avenor gg packaging systems,88.9,REJECT
veltrix hg packaging systems,,,NO_MATCH
calvion hh pharma systems,,,NO_MATCH
wexforda ih retail systems,wexforda ih retail sys,91.7,ACCEPT
yorvex jh software systems,yorvex ip software systems,92.3,ACCEPT
javora ji software systems,javora ji software sys,91.7,ACCEPT
iskora ki supply systems,,,NO_MATCH
ulvero ki therapeutics systems,ulvero ki therapeutics sys,92.9,ACCEPT
tarsen li training systems,tarsen li training sys,91.7,ACCEPT
xylera li training systems,,,NO_MATCH
nexora mi transport systems,,,NO_MATCH
kestrelis oj analytics technologies,,,NO_MATCH
nexora oj analytics technologies,nexora ge analytics technologies,90.6,ACCEPT
falvera pj analytics technologies,falvera nr analytics technologies,93.9,ACCEPT
veltrix pk analytics technologies,,,NO_MATCH
yantara pk analytics technologies,yantara pk analytics tech,86.2,ACCEPT
novaris pk biosystems technologies,,,NO_MATCH
praxon pk biosystems technologies,rovian kp biosystems technologies,87.9,REJECT
cendrix qk cloudworks technologies,cendrix qk cloudworks tech,86.7,ACCEPT
ulvero rk components technologies,tervano rk components technologies,89.6,REJECT
glenvex sl foods technologies,galvex ni foods technologies,87.7,REJECT
yorvex sl gridworks technologies,yorvex sl gridworks tech,85.7,ACCEPT
rovian tl technologies,rovian pi technologies,86.4,ACCEPT
tarsen tl technologies,tarsen qb technologies,86.4,ACCEPT
cendrix tl technologies,,,NO_MATCH
javora tl technologies,javora zw tools technologies,88.0,ACCEPT
uldora tl technologies,,,NO_MATCH
dorsen tl imaging technologies,haverno tl imaging technologies,85.2,REJECT
ivanto ul logistics technologies,,,NO_MATCH
nexora wm packaging technologies,brinora wm packaging technologies,92.3,REJECT
falvera wm packaging technologies,fintara wm packaging technologies,90.9,REJECT
yorvex yn robotics technologies,,,NO_MATCH
braxen zn software technologies,calvion zn software technologies,85.7,REJECT
ulvero zo supply technologies,ulvero xd supply technologies,93.1,ACCEPT
iskora zo supply technologies,,,NO_MATCH
xylera ao therapeutics technologies,ulvero si therapeutics technologies,85.7,REJECT
rovian ao tools technologies,mavrix ao tools technologies,85.7,REJECT
tarsen ao tools technologies,mavrix ao tools technologies,85.7,REJECT
eldora bo transport technologies,jorvik bo transport technologies,87.5,REJECT
tervano cp transport technologies,,,NO_MATCH
orvanta cp ventures technologies,kelvanto cp ventures technologies,89.2,REJECT
javora cp ventures technologies,eldora cp ventures technologies,90.3,REJECT
novaris dp warehousing technologies,novaris dp warehousing tech,87.1,ACCEPT
evorin dp wellness technologies,javora dp wellness technologies,90.3,REJECT
lorven dp wellness technologies,javora dp wellness technologies,87.1,REJECT
yorvex ep analytics services,yorvex bf analytics services,92.9,ACCEPT
kestrelis eq biosystems services,,,NO_MATCH
evorin fq biosystems services,,,NO_MATCH
haverno fq biosystems services,haverno fq biosys services,92.9,ACCEPT
yorvex fq clinics services,,,NO_MATCH
haverno fq clinics services,,,NO_MATCH
rovian gq components services,rovian fy components services,93.1,ACCEPT
xylera gq components services,uldora eg components services,86.2,REJECT
glenvex gq components services,,,NO_MATCH
javora gq components services,ostera eg components services,86.2,REJECT
falvera hq diagnostics services,,,NO_MATCH
zentara ir services,,,NO_MATCH
rovian ks materials services,,,NO_MATCH
iskora ks materials services,,,NO_MATCH
calvion ls packaging services,,,NO_MATCH
kestrelis ls packaging services,,,NO_MATCH
glenvex ms payments services,glenvex iq payments services,92.9,ACCEPT
rovian mt pharma services,rovian hy pharma services,92.0,ACCEPT
yorvex nt retail services,,,NO_MATCH
praxon nt robotics services,,,NO_MATCH
orvanta ot software services,,,NO_MATCH
deltora pu supply services,eldora lr supply services,86.3,REJECT
veltrix pu supply services,veltrix lr supply services,92.3,ACCEPT
kestrelis pu therapeutics services,kestrelis lr therapeutics services,94.1,ACCEPT
yantara qu therapeutics services,,,NO_MATCH
helvar qu training services,helvar jh training services,92.6,ACCEPT
wexforda rv ventures services,,,NO_MATCH
javora sv warehousing services,,,NO_MATCH
ivanto tv workspace services,ivanto na workspace services,89.3,ACCEPT
rovian uw biosystems international,rovian td biosystems international,94.1,ACCEPT
helvar vw cloudworks international,eldora vw cloudworks international,91.2,REJECT
eldora vw components international,eldora nr components international,94.1,ACCEPT
haverno ww diagnostics international,haverno ww diagnostics intl,85.7,ACCEPT
nexora xx gridworks international,rovian xx gridworks international,87.9,REJECT
orvanta yx imaging international,orvanta xf imaging international,96.9,ACCEPT
uldora zx logistics international,uldora rs logistics international,90.9,ACCEPT
arvello zy materials international,eldora zy materials international,89.6,REJECT
lorven zy materials international,jorvik zy materials international,90.9,REJECT
vantigo by packaging international,vantigo ul packaging international,91.2,ACCEPT
quenvale by payments international,,,NO_MATCH
brinora by payments international,,,NO_MATCH
zentara cz pharma international,,,NO_MATCH
ivanto cz retail international,kelvanto bh retail international,87.1,REJECT
dorsen fa tools international,,,NO_MATCH
ravelin ga tools international,,,NO_MATCH
tervano ga tools international,orvanta fa tools international,86.7,REJECT
eldora ga training international,eldora wc training international,90.6,ACCEPT
rovian ga training international,orvanta ei training international,86.2,REJECT
deltora ga training international,deltora yv training international,90.9,ACCEPT
evorin ga training international,evorin cx training international,90.6,ACCEPT
glenvex hb ventures international,galvex xd ventures international,86.2,REJECT
dorsen hb warehousing international,dorsen dy warehousing international,94.3,ACCEPT
brinora hb warehousing international,,,NO_MATCH
kelvanto ib wellness international,ravelin ib wellness international,86.6,REJECT
dorsen ib workspace international,,,NO_MATCH
qintara lc cloudworks,yantara lc cloudworks,90.5,REJECT
lunaro lc components,,,NO_MATCH
arvello lc components,arvello yy components,90.5,ACCEPT
galvex lc diagnostics,galvex js diagnostics,90.5,ACCEPT
yantara mc diagnostics,yantara fc diagnostics,95.5,ACCEPT
brinora nd,,,NO_MATCH
praxon nd,praxon dj,88.9,ACCEPT
fintara nd imaging,fintara qf imaging,88.9,ACCEPT
veltrix pe materials,veltrix mk materials,90.0,ACCEPT
praxon pe mobility,,,NO_MATCH
zentara qe packaging,zentara cr packaging,85.0,ACCEPT
falvera re payments,,,NO_MATCH
iskora sf retail,iskora to retail,87.5,ACCEPT
ulvero sf robotics,,,NO_MATCH
wendora sf robotics,,,NO_MATCH
avenor sf security,avenor wz security,88.9,ACCEPT
braxen tf software,,,NO_MATCH
ivanto tf software,,,NO_MATCH
kestrelis tf software,kestrelis mf software,85.7,ACCEPT
evorin tf software,,,NO_MATCH
praxon ug supply,,,NO_MATCH
uldora ug supply,,,NO_MATCH
wendora vg therapeutics,wendora xh therapeutics,87.0,ACCEPT
kelvanto vg tools,,,NO_MATCH
qintara xh ventures,,,NO_MATCH
yantara xh ventures,,,NO_MATCH
evorin yh workspace,,,NO_MATCH
haverno yh workspace,haverno mv workspace,85.0,ACCEPT
braxen zh biosystems,braxen biosystems,91.9,ACCEPT
galvex zh biosystems,galvex bj biosystems,85.0,ACCEPT
rovian zi biosystems,solvanta zi biosystems,85.7,REJECT
dorsen ej materials,,,NO_MATCH
tervano fk mobility,,,NO_MATCH
nexora fk networks,wexforda fk networks,89.5,REJECT
solvanta fk networks,solvanta es networks,90.0,ACCEPT
mavrix fk packaging,,,NO_MATCH
haverno gk payments,,,NO_MATCH
cendrix hl retail,cendrix hc retail,94.1,ACCEPT
falvera il robotics,,,NO_MATCH
zentara il security,zentara la security,94.7,ACCEPT
eldora il software,eldora mf software,88.9,ACCEPT
lorven jl software,lorven kv software,88.9,ACCEPT
novaris jl software,novaris ki software,89.5,ACCEPT
prysmar lm transport,prysmar mj transport,95.0,ACCEPT
solvanta lm transport,solvanta jl transport,95.2,ACCEPT
xylera lm transport,,,NO_MATCH
javora lm transport,javora tn transport,89.5,ACCEPT
braxen mn warehousing,braxen qg warehousing,90.5,ACCEPT
nexora mn warehousing,nexora fz warehousing,90.5,ACCEPT
evorin mn warehousing,evorin km warehousing,95.2,ACCEPT
kelvanto mn warehousing,kelvanto tr warehousing,91.3,ACCEPT
tervano nn warehousing,tervano bb warehousing,90.9,ACCEPT
ostera nn wellness,ostera ai wellness,88.9,ACCEPT
javora nn workspace,javora tv workspace,89.5,ACCEPT
javora po clinics,,,NO_MATCH
eldora qo diagnostics,eldora jb diagnostics,90.5,ACCEPT
prysmar qo diagnostics,prysmar oe diagnostics,86.4,ACCEPT
ivanto ro foods,,,NO_MATCH
uldora rp foods,uldora nm foods,86.7,ACCEPT
ulvero sp imaging,ulvero rx imaging,88.2,ACCEPT
qintara uq materials,,,NO_MATCH
jorvik uq mobility,jorvik pe mobility,88.9,ACCEPT
cendrix uq mobility,,,NO_MATCH
ostera uq mobility,ostera yx mobility,88.9,ACCEPT
ravelin uq mobility,,,NO_MATCH
cendrix vq networks,,,NO_MATCH
kelvanto vq networks,kelvanto qe networks,95.0,ACCEPT
fintara wq pharma,fintara qv pharma,94.1,ACCEPT
braxen wr retail,braxen zf retail,87.5,ACCEPT
fintara xr robotics,,,NO_MATCH
glenvex yr security,,,NO_MATCH
rovian yr software,rovian tf software,88.9,ACCEPT
veltrix as tools,veltrix fr tools,87.5,ACCEPT
haverno as training,,,NO_MATCH
novaris as training,novaris hw training labs,88.4,ACCEPT
ulvero bs ventures,ulvero nf ventures,88.9,ACCEPT
uldora bt ventures,uldora nf ventures,88.9,ACCEPT
nexora dt workspace,nexora mv workspace,89.5,ACCEPT
tarsen et biosystems,tarsen et biosys,88.9,ACCEPT
yantara fu clinics,yantara un clinics,94.4,ACCEPT
cendrix gu diagnostics,,,NO_MATCH
orvanta hv,,,NO_MATCH
sorevia iv imaging,sorevia od imaging,88.9,ACCEPT
rovian kw networks,rovian dw networks sys,85.0,ACCEPT
ivanto kw packaging,ivanto je packaging,89.5,ACCEPT
evorin mx pharma,evorin fs pharma,87.5,ACCEPT
braxen mx retail,,,NO_MATCH
ravelin nx robotics,,,NO_MATCH
calvion nx security,calvion jh security,89.5,ACCEPT
lorven nx security,,,NO_MATCH
kelvanto ox software,kelvanto ak software,85.0,ACCEPT
jorvik ox supply,jorvik ol supply,93.8,ACCEPT
zentara py therapeutics,zentara li therapeutics,91.3,ACCEPT
kelvanto qy training,kelvanto ql training,95.0,ACCEPT
fintara qy transport,,,NO_MATCH
solvanta qy transport,solvanta jl transport,90.5,ACCEPT
deltora sz wellness,,,NO_MATCH
tervano sz wellness,tervano bb wellness,89.5,ACCEPT
lunaro tz analytics labs,qintara tz analytics labs,85.7,REJECT
eldora tz biosystems labs,,,NO_MATCH
rovian tz biosystems labs,rovian tz biosys labs,91.3,ACCEPT
falvera ta biosystems labs,,,NO_MATCH
wendora ua biosystems labs,wexforda lu biosystems labs,86.8,REJECT
deltora va components labs,deltora rx components labs,92.3,ACCEPT
rovian wb gridworks labs,,,NO_MATCH
solvanta xb labs,,,NO_MATCH
evorin xb imaging labs,evorin od imaging labs,90.9,ACCEPT
ravelin yb logistics labs,,,NO_MATCH
ivanto yb materials labs,ivanto ro materials labs,91.7,ACCEPT
orvanta zc mobility labs,orvanta vz mobility labs,95.8,ACCEPT
kelvanto zc mobility labs,,,NO_MATCH
tervano ac packaging labs,xylera ac packaging labs,85.7,REJECT
braxen ac payments labs,braxen vh payments labs,87.0,ACCEPT
meroxa dd security labs,meroxa at security labs,91.3,ACCEPT
solvanta dd software labs,solvanta wq software labs,88.0,ACCEPT
deltora ed supply labs,,,NO_MATCH
galvex fe transport labs,glenvex ge transport labs,89.8,REJECT
glenvex hf wellness labs,galvex ix wellness labs,85.1,REJECT
quenvale if workspace labs,,,NO_MATCH
uldora if analytics solutions,uldora ky analytics solutions,93.1,ACCEPT
eldora jf biosystems solutions,evorin jf biosystems solutions,90.0,REJECT
calvion kg cloudworks solutions,calvion kg cloudworks solns,93.1,ACCEPT
helvar kg cloudworks solutions,helvar kg cloudworks solns,92.9,ACCEPT
brinora kg cloudworks solutions,,,NO_MATCH
calvion kg components solutions,calvion fl components solns,86.2,ACCEPT
lorven kg components solutions,lorven kg components solns,92.9,ACCEPT
falvera lg foods solutions,falvera jw foods solutions,92.3,ACCEPT
brinora pi networks solutions,brinora pi networks solns,92.6,ACCEPT
helvar qi pharma solutions,lunaro qi pharma solutions,88.5,REJECT
jorvik qi pharma solutions,jorvik qi pharma solns,91.7,ACCEPT
quenvale sj security solutions,quenvale pz security solutions,90.0,ACCEPT
tarsen tj software solutions,,,NO_MATCH
falvera tj software solutions,,,NO_MATCH
lunaro tk therapeutics solutions,,,NO_MATCH
meroxa uk therapeutics solutions,meroxa uk therapeutics solns,93.3,ACCEPT
jorvik uk tools solutions,jorvik uk tools solns,91.3,ACCEPT
mavrix uk training solutions,mavrix wc training solutions,92.9,ACCEPT
yorvex vk training solutions,yorvex vk training solns,92.3,ACCEPT
praxon vk training solutions,,,NO_MATCH
novaris vk transport solutions,novaris nf transport solutions,90.0,ACCEPT
wendora vk transport solutions,zentara vk transport solutions,90.0,REJECT
kestrelis wl warehousing solutions,kestrelis si warehousing solutions,91.2,ACCEPT
rovian wl warehousing solutions,falvera wl warehousing solutions,85.7,REJECT
lorven xl wellness solutions,lorven xl wellness solns,92.3,ACCEPT
yantara xl workspace solutions,,,NO_MATCH
wexforda yl analytics systems,wexforda yl analytics sys,92.6,ACCEPT
yantara yl analytics systems,yantara ry analytics systems,89.3,ACCEPT
xylera yl biosystems systems,,,NO_MATCH
meroxa yl biosystems systems,,,NO_MATCH
praxon ym biosystems systems,,,NO_MATCH
braxen zm cloudworks systems,braxen rg cloudworks systems,89.3,ACCEPT
nexora zm cloudworks systems,nexora ur cloudworks systems,92.9,ACCEPT
sorevia am components systems,,,NO_MATCH
haverno am diagnostics systems,javora am diagnostics systems,88.1,REJECT
quenvale cn systems,,,NO_MATCH
galvex cn imaging systems,glenvex bv imaging systems,86.3,REJECT
quenvale dn materials systems,quenvale dn materials sys,92.6,ACCEPT
brinora dn materials systems,brinora dn materials sys,92.3,ACCEPT
vantigo eo mobility systems,vantigo eo mobility sys,92.0,ACCEPT
jorvik fo payments systems,,,NO_MATCH
tarsen fo payments systems,tarsen hg payments systems,92.3,ACCEPT
wexforda fo payments systems,wexforda ew payments systems,92.9,ACCEPT
zentara fo payments systems,,,NO_MATCH
falvera go payments systems,falvera hg payments systems,96.3,ACCEPT
rovian gp retail systems,rovian gp retail sys,90.9,ACCEPT
veltrix hp retail systems,,,NO_MATCH
avenor hp robotics systems,avenor hp robotics sys,91.7,ACCEPT
ulvero hp security systems,ulvero dm security systems,92.3,ACCEPT
zentara ip security systems,zentara ip security sys,92.0,ACCEPT
jorvik ip software systems,jorvik jh software systems,92.3,ACCEPT
deltora ip software systems,,,NO_MATCH
deltora jp supply systems,javora jp supply systems,85.7,REJECT
wendora jq supply systems,,,NO_MATCH
mavrix jq therapeutics systems,,,NO_MATCH
javora jq therapeutics systems,falvera jq therapeutics systems,91.8,REJECT
kelvanto jq therapeutics systems,,,NO_MATCH
evorin kq tools systems,evorin gn tools systems,91.3,ACCEPT
javora kq training systems,,,NO_MATCH
kelvanto kq training systems,kelvanto fv training systems,89.3,ACCEPT
novaris kq training systems,novaris mi training systems,92.6,ACCEPT
orvanta kq transport systems,,,NO_MATCH
qintara lq transport systems,qintara ho transport systems,92.9,ACCEPT
rovian lq ventures systems,praxon lq ventures systems,88.5,REJECT
javora lq ventures systems,javora lq ventures sys,91.7,ACCEPT
brinora mr warehousing systems,brinora mr warehousing sys,92.9,ACCEPT
lunaro mr wellness systems,lunaro nj wellness systems,92.3,ACCEPT
deltora mr wellness systems,deltora io wellness systems,92.6,ACCEPT
braxen nr analytics technologies,braxen ge analytics technologies,93.8,ACCEPT
quenvale nr analytics technologies,quenvale nr analytics tech,86.7,ACCEPT
tarsen nr analytics technologies,orvanta nr analytics technologies,86.2,REJECT
prysmar or biosystems technologies,,,NO_MATCH
deltora or biosystems technologies,deltora gm biosystems technologies,94.1,ACCEPT
eldora os clinics technologies,,,NO_MATCH
xylera os clinics technologies,xylera nz clinics technologies,93.3,ACCEPT
iskora ps cloudworks technologies,iskora na cloudworks technologies,93.9,ACCEPT
yantara ps components technologies,yantara ni components technologies,94.1,ACCEPT
braxen qs diagnostics technologies,,,NO_MATCH
helvar qs diagnostics technologies,nexora qs diagnostics technologies,88.2,REJECT
lunaro qs diagnostics technologies,fintara qs diagnostics technologies,89.9,REJECT
jorvik qs foods technologies,,,NO_MATCH
tervano qs foods technologies,,,NO_MATCH
brinora rt gridworks technologies,avenor rt gridworks technologies,89.2,REJECT
javora rt gridworks technologies,praxon rt gridworks technologies,87.5,REJECT
wendora st imaging technologies,,,NO_MATCH
galvex st logistics technologies,galvex rb logistics technologies,93.8,ACCEPT
glenvex st logistics technologies,galvex rb logistics technologies,89.2,REJECT
wexforda tt materials technologies,wexforda pr materials technologies,91.2,ACCEPT
haverno tt materials technologies,haverno pr materials technologies,90.9,ACCEPT
yantara tu materials technologies,yantara tu materials tech,86.2,ACCEPT
yantara uu mobility technologies,yantara uu mobility tech,85.7,ACCEPT
quenvale vu pharma technologies,,,NO_MATCH
sorevia wu pharma technologies,,,NO_MATCH
calvion wv retail technologies,calvion uc retail technologies,93.3,ACCEPT
veltrix wv retail technologies,veltrix ra retail technologies,90.0,ACCEPT
xylera wv robotics technologies,,,NO_MATCH
eldora yv supply technologies,eldora qq supply technologies,89.7,ACCEPT
lunaro yv supply technologies,,,NO_MATCH
glenvex zw tools technologies,,,NO_MATCH
qintara zw tools technologies,qintara tl technologies,88.5,ACCEPT
deltora aw training technologies,deltora tj training technologies,90.6,ACCEPT
meroxa aw training technologies,meroxa aw training tech,85.2,ACCEPT
javora aw transport technologies,ravelin aw transport technologies,86.2,REJECT
galvex aw ventures technologies,,,NO_MATCH
jorvik aw ventures technologies,,,NO_MATCH
nexora aw ventures technologies,eldora cp ventures technologies,87.1,REJECT
iskora bw ventures technologies,iskora vb ventures technologies,90.3,ACCEPT
qintara bx warehousing technologies,sorevia bx warehousing technologies,85.7,REJECT
quenvale cx wellness technologies,quenvale af wellness technologies,93.9,ACCEPT
veltrix cx wellness technologies,,,NO_MATCH
lorven dx analytics services,lorven ep analytics services,92.9,ACCEPT
brinora dx biosystems services,brinora vs biosystems services,90.0,ACCEPT
tervano ey cloudworks services,tervano ws cloudworks services,90.0,ACCEPT
wendora gy foods services,wendora fg foods services,88.0,ACCEPT
qintara hz imaging services,,,NO_MATCH
calvion ja networks services,calvion cm networks services,92.9,ACCEPT
uldora la payments services,uldora ff payments services,92.6,ACCEPT
falvera lb retail services,falvera fn retail services,92.3,ACCEPT
cendrix mb robotics services,,,NO_MATCH
rovian mb security services,,,NO_MATCH
deltora mb security services,evorin mb security services,87.3,REJECT
novaris nb security services,,,NO_MATCH
brinora pc training services,avenor pc training services,87.3,REJECT
kelvanto pc training services,kelvanto hx training services,89.7,ACCEPT
sorevia pc training services,,,NO_MATCH
falvera qc ventures services,falvera ma ventures services,92.9,ACCEPT
ravelin qc ventures services,,,NO_MATCH
mavrix qd warehousing services,mavrix kp warehousing services,90.0,ACCEPT
haverno rd warehousing services,avenor pk warehousing services,88.5,REJECT
braxen rd wellness services,,,NO_MATCH
yorvex sd analytics international,yorvex rl analytics international,93.9,ACCEPT
tervano td biosystems international,wendora qt biosystems international,85.7,REJECT
vantigo ue cloudworks international,vantigo rt cloudworks international,94.3,ACCEPT
helvar ue components international,eldora nr components international,85.3,REJECT
rovian ve diagnostics international,tervano ve diagnostics international,93.0,REJECT
vantigo ve diagnostics international,tervano ve diagnostics international,91.7,REJECT
uldora ve diagnostics international,sorevia ve diagnostics international,90.1,REJECT
solvanta ve foods international,orvanta um foods international,88.5,REJECT
